名次,电影名称,日期,总场次,废场,人次,上座率,票价
341,侏罗纪世界,20150620,12761,844,115.32万,54.45%,48.7
342,羞羞的铁拳,20171001,29175,38498,158.84万,36.36%,35.3
343,绝地逃亡,20160723,26926,2816,124.32万,25.81%,44.9
344,红海行动,20180226,30537,39735,138.12万,29.87%,40.4
345,蜘蛛侠：英雄远征,20190630,57096,91544,143.59万,17.17%,38.8
346,京城81号2,20170709,35884,8785,152.62万,61.61%,36.5
347,我不是药神,20180712,51886,94665,156.56万,20.85%,35.5
348,速度与激情：特别行动,20190825,48551,127768,136.85万,18.58%,40.6
349,头号玩家,20180406,32090,44356,147.46万,27.95%,37.6
350,唐人街探案2,20180225,29266,32186,141.37万,36.11%,39.2
351,中国机长,20190930,27519,66622,138.1万,40.62%,40.1
352,奇幻森林,20160417,29461,3451,121.2万,22.37%,45.7
353,复仇者联盟3：无限战争,20180520,38193,58957,141.82万,24.04%,39
354,西游记女儿国,20180216,17866,23867,131.62万,60.77%,41.9
355,父子雄兵,20170722,36711,9340,157.21万,38.1%,35.1
356,银河护卫队2,20170505,46700,32183,139.54万,27.77%,39.4
357,疯狂的外星人  2D,20190210,27959,55710,121.71万,34.74%,45.1
358,恶棍天使,20151227,24212,2112,144.28万,37.24%,38.1
359,侏罗纪世界,20150621,14426,799,115.23万,47.48%,47.6
360,异星觉醒,20170520,34801,12467,171.58万,55.05%,32
361,羞羞的铁拳,20171004,31814,44891,156.87万,31.08%,34.9
362,一出好戏,20180811,24034,16305,148万,52.29%,37
363,蚁人2：黄蜂女现身,20180826,40271,60142,138.77万,21.49%,39.4
364,神偷奶爸3,20170717,41483,6834,160.56万,52.53%,34.1
365,变形金刚4：绝迹重生,20140628,8055,0,95.28万,75.54%,57.3
366,流浪地球,20190219,42189,81974,121.66万,17.94%,44.8
367,建军大业,20170801,36697,10882,162.41万,39.36%,33.5
368,绣春刀：修罗战场,20170724,40705,7626,174.86万,29.61%,31
369,头号玩家,20180405,28794,35279,141.66万,29.46%,38.3
370,红海行动,20180303,25774,34309,136.01万,31.9%,39.8
371,火星救援,20151129,20624,1392,109.29万,28.66%,49.4
372,头号玩家,20180401,31774,44047,140.74万,27.63%,38.2
373,中国机长,20191005,32442,89679,131.97万,29.49%,40.8
374,我和我的祖国,20191006,31731,88725,131.06万,29.53%,40.9
375,西虹市首富,20180805,37217,46583,146.36万,25.74%,36.5
376,金刚：骷髅岛,20170325,41140,36459,138.38万,32.74%,38.6
377,摔跤吧！爸爸,20170530,31212,5675,171.8万,80.89%,31.1
378,你的名字。,20161203,35358,22173,165.59万,31.68%,32.2
379,北京遇上西雅图之不二情书,20160501,29589,3355,129.53万,25.41%,41.2
380,猩球崛起：终极之战,20170917,39863,41839,145.02万,23.16%,36.7
381,港囧,20151003,22149,2095,129.98万,35.42%,40.9
382,西虹市首富,20180727,35633,72563,151.04万,32.8%,35.2
383,鬼吹灯之九层妖塔,20151002,20844,2286,116.36万,34.13%,45.7
384,哥斯拉2：怪兽之王,20190531,57597,82485,139.11万,15.91%,38.2
385,绣春刀：修罗战场,20170725,40523,7952,171.65万,29.1%,30.9
386,寻龙诀,20151222,35423,2109,117.52万,19.89%,45.1
387,侏罗纪世界,20150610,24417,1818,115.12万,26.97%,46.1
388,哪吒之魔童降世,20190801,45320,76529,139.94万,21.88%,37.8
389,一出好戏,20180810,27130,30011,147.66万,46.6%,35.8
390,中国机长,20191006,31797,89496,128.07万,28.57%,41.2
391,神偷奶爸3,20170718,39425,7362,155.15万,52.54%,34
392,异形：契约,20170619,45226,21536,167.62万,39.02%,31.4
393,哪吒之魔童降世,20190805,50293,87855,139.68万,18.71%,37.6
394,寒战2,20160710,22394,2289,113.31万,29.31%,46.3
395,海王,20181215,36386,65609,131.93万,22.85%,39.5
396,战狼2,20170811,29568,40426,138.08万,30.7%,37.5
397,绣春刀：修罗战场,20170726,39763,8061,166.94万,28.76%,31
398,西虹市首富,20180802,45762,49394,145.75万,22.47%,35.4
399,使徒行者2：谍影行动,20190807,37174,69384,137.41万,28.59%,37.6
400,变形金刚4：绝迹重生,20140629,7913,0,89.9万,70.68%,57.3
401,速度与激情7,20150425,16273,1581,105.38万,36.96%,48.8
402,我不是药神,20180711,47156,99598,143.45万,20.92%,35.7
403,西游伏妖篇,20170130,27309,19729,124.71万,32.82%,41
404,复仇者联盟3：无限战争,20180519,35656,67713,129.73万,23.46%,39.4
405,羞羞的铁拳,20171003,29712,45862,146.78万,31.67%,34.9
406,新娘大作战,20150820,17447,2286,121.4万,41.61%,42.1
407,捉妖记,20150720,18127,850,111.99万,36.91%,45.7
408,悟空传,20170721,29363,5765,138.85万,45.69%,36.8
409,哪吒之魔童降世,20190731,48502,97830,134.39万,18.92%,38
410,北京遇上西雅图之不二情书,20160430,29286,3438,124.89万,24.78%,40.8
411,京城81号2,20170706,24663,4494,140.04万,76.78%,36.4
412,摔跤吧！爸爸,20170525,43679,10596,168.55万,44.95%,30.2
413,银河护卫队2,20170513,22426,6464,129.6万,57.95%,39.2
414,红海行动,20180227,30430,39188,125.93万,27.56%,40.3
415,小时代4：灵魂尽头,20150709,24221,1152,133.14万,33.12%,38.1
416,变形金刚5：最后的骑士,20170705,38575,20156,142.24万,39.59%,35.6
417,悟空传,20170724,32085,5834,139.62万,30.33%,36.3
418,变形金刚5：最后的骑士,20170704,38957,20512,142.37万,39.31%,35.5
419,绝地逃亡,20160724,26737,2359,113.58万,23.7%,44.6
420,金刚：骷髅岛,20170324,37708,27386,132.9万,28.82%,38.1
421,流浪地球,20190218,41704,82474,112万,16.81%,45.1
422,疯狂动物城,20160311,20912,1397,112.41万,33.95%,44.9
423,复仇者联盟3：无限战争,20180516,53125,72210,131.99万,16.92%,38.2
424,哪吒之魔童降世,20190810,36867,74381,130.18万,23.68%,38.7
425,三生三世十里桃花,20170806,30916,14915,136.77万,31.59%,36.8
426,攀登者,20190930,31294,77401,124.2万,28.04%,40.4
427,愤怒的小鸟,20160521,27093,2506,114.96万,24.39%,43.7
428,悟空传,20170725,31943,6517,138.73万,30.17%,36.2
429,红海行动,20180228,30997,29816,124.4万,26.11%,40.1
430,父子雄兵,20170723,33240,9677,142.33万,36.73%,35.1
431,疯狂动物城,20160306,16429,1400,108.33万,46.21%,46
432,老炮儿,20151227,15868,587,124.37万,59.66%,40.1
433,惊天魔盗团2,20160624,24798,1831,115.93万,28.89%,43
434,奇幻森林,20160423,20661,1455,108.2万,30.43%,45.8
435,狂暴巨兽,20180415,36414,57264,136.44万,23.43%,36.3
436,红海行动,20180218,16887,24477,111.85万,55.67%,44.1
437,哪吒之魔童降世,20190729,46669,85466,130.24万,18.71%,37.9
438,悟空传,20170726,31767,6571,135.81万,29.75%,36.3
439,霍比特人3：去而复归,20150125,14211,565,95.04万,37.33%,51.8
440,雷神3：诸神黄昏,20171104,32524,50625,132.34万,25.45%,37
441,夏洛特烦恼,20151004,15528,761,124.32万,56.95%,39.3
442,前任3：再见前任,20180105,27191,37501,135.72万,40.06%,36
443,哆啦A梦：伴我同行,20150531,18488,705,110.77万,34.43%,44
444,碟中谍5：神秘国度,20150909,30648,2908,116.42万,22.46%,41.8
445,哪吒之魔童降世,20190811,37678,79004,127.24万,22.44%,38.2
446,飞驰人生,20190208,23465,51181,104.88万,38.92%,46.4
447,狂暴巨兽,20180414,33569,51823,133.44万,24.88%,36.4
448,摔跤吧！爸爸,20170524,41383,13893,158.7万,43.82%,30.6
449,哪吒之魔童降世,20190806,50283,87948,130.04万,17.48%,37.3
450,乘风破浪,20170128,19791,2335,127.72万,72.24%,37.8
451,寻龙诀,20151223,34624,2935,104.92万,18.25%,46.1
452,复仇者联盟2：奥创纪元,20150514,27488,2504,95.79万,21.24%,50
453,少年的你,20191025,42525,99737,123.31万,19.75%,38.7
454,捉妖记,20150721,18019,920,106.22万,34.73%,44.9
455,老炮儿,20151226,14743,1010,118.88万,62.38%,40
456,雷霆沙赞！,20190405,37956,82748,120.04万,19.39%,39.5
457,港囧,20150928,35297,2855,117.07万,19.8%,40.5
458,碟中谍5：神秘国度,20150911,29799,4072,110.68万,21.97%,42.8
459,火星救援,20151125,24358,2426,100.6万,22.94%,47
460,我不是药神,20180713,34192,53450,132.46万,29.33%,35.7
